meta_ref_id,quote,reports_any_result,reports_quantitative_result,reports_limitation
"A. Gonzalez, J.A. Navas-Molina, T. Kosciolek, D. McDonald, Y. VÃ¡zquez-Baeza, G. Ackermann, et al. Qiita: Rapid, web-enabled microbiome meta-analysis. Nature methods, 15 (10) (2018), pp. 796-798, 10.1038/s41592-018-0141-9","Demultiplexed, primer trimmed, per sample fastq files were obtained from Eurofins, transferred into Qiita (Gonzalez et al., 2018) and quality controlled using the default settings.",FALSE,FALSE,FALSE
"Acevedo MA, Dillemuth FP, Flick AJ et al (2019) Virulence-driven trade-offs in disease transmission: a meta-analysis. Evolution (n y) 73â€“4:636â€“647. https:// doi. org/ 10. 1111/ evo. 13692",A vast body of research has explored theoretical predictions and provided empirical evidence illustrating that disease severity and parasite growth and reproduction may differ under coinfection compared to single infections.(Taylor et al. 2002; Wintermantel et al. 2008; Mideo 2009; Alizon et al. 2013; Laine and MÃ¤kinen 2018; Acevedo et al. 2019; Clerc et al. 2019).,TRUE,FALSE,FALSE
"Acevedo, M. A., Dillemuth, F. P., Flick, A. J., Faldyn, M .J. & Elderd, B. D. (2019). Virulence-driven trade-offs in disease transmission: A meta-analysis. Evolution, 73, 636â€“647.","This effect of the timing of transmission may also explain the mixed empirical evidence for the occurrence of the virulence transmission trade-off, as continuous transmission will only be relevant for some parasite life-cycles and/or experimental designs (Acevedo et al., 2019).",TRUE,FALSE,FALSE
"Acevedo, M. A., Dillemuth, F. P., Flick, A. J., Faldyn, M .J. & Elderd, B. D. (2019). Virulence-driven trade-offs in disease transmission: A meta-analysis. Evolution, 73, 636â€“647.","Parasites replicate within their host, exploiting their resources and damaging tissues, thus virulence is often positively correlated with replication rate (reviewed in Acevedo et al., 2019).",TRUE,FALSE,FALSE
"Acevedo, M. A., Dillemuth, F. P., Flick, A. J., Faldyn, M .J. & Elderd, B. D. (2019). Virulence-driven trade-offs in disease transmission: A meta-analysis. Evolution, 73, 636â€“647.","However, although such correlations have been found in several systems (reviewed in Acevedo et al., 2019), most studies used parasite isolates with different geographic origins and thus that differ not only genetically but also in their recent ecological and evolutionary history (de Roode et al., 2008; Doumayrou et al., 2013; Ebert, 1994; Mackinnon & Read, 1999).",FALSE,FALSE,TRUE
"Acevedo, M.A., Dillemuth, F.P., Flick, A.J., Faldyn, M.J. & Elderd, B.D. (2019) Virulence-driven trade-offs in disease transmission: a meta-analysis. Evolution, 73, 636â€“647.","Thus, the RETO could be one of numerous factors contributing towards the breakdown of the virulence-transmission trade-off hypothesis (Acevedo et al., 2019; Alizon et al., 2009).",TRUE,FALSE,FALSE
"Aguilar, R., Ashworth, L., Galetto, L. & Aizen, M.A. (2006) Plant reproductive susceptibility to habitat fragmentation: review and synthesis through a meta-analysis. Ecology Letters, 9, 968â€“980.","If a publication reported the results of several taxonomic groups or cities separately, each was considered a separate observation (Aguilar et al., 2006).",FALSE,FALSE,FALSE
"Aguilar, R., L. Ashworth, L. Galetto, and M. A. Aizen. 2006. Plant reproductive susceptibility to habitat fragmentation: review and synthesis through a meta-analysis. Ecology Letters 9:968â€“980","Indeed, an increased level of self-fertilization has been widely documented in response to environmental changes, such as human disturbances (Eckert et al. 2010), habitat fragmentation (Aguilar et al. 2006), range expansion (Levin 2012), and colonization (Bar- rett et al. 2008; Pannell et al. 2015).",TRUE,FALSE,FALSE
"Ainsworth EA, Long SP (2005) What have we learned from 15 years of free-air CO2 enrichment (FACE)? A metaâ€analytic review of the responses of photosynthesis, canopy properties and plant production to rising CO2. New Phytol 165(2):351â€“372","Since CO2 is a substrate for the photosynthetic process of plants, it is generally recognized as a nutrient having positive effects on crop yield in many, but not all cases (Kimball 1983; Ainsworth and Long 2005), since the response of plants to eCO2 differs between plant types.",TRUE,FALSE,FALSE
"Ainsworth EA, Long SP. What have we learned from 15 years of free-air CO2 enrichment (FACE)? A metaanalytic review of the responses of photosynthesis, canopy properties and plant production to rising CO2. New Phytol. 2005;165(2):351â€“372.","The photosynthetic ability of C3 populations can be increased by elevated CO2, while C4 populations rarely benefit from additional CO2 [81,89]",TRUE,FALSE,FALSE
"Ainsworth EA, Long SP. What have we learned from 15 years of free-air CO2 enrichment (FACE)? A metaanalytic review of the responses of photosynthesis, canopy properties and plant production to rising CO2. New Phytol. 2005;165(2):351â€“372.","According to the often-used theoretical model of photosynthesis, eCO2 influences the temperature response of photosynthesis [79,80], increases leaf Pn, and promotes plant water use and net primary productivity [81]",TRUE,FALSE,FALSE
"Ainsworth EA, Long SP. What have we learned from 15 years of free-air CO2 enrichment (FACE)? A metaanalytic review of the responses of photosynthesis, canopy properties and plant production to rising CO2. New Phytol. 2005;165(2):351â€“372.","Future increases in surface temperature can help to further stimulate tree development. eCO2 can also influence the temperature response of photosynthesis in mangroves [79,80], increase the Pn of leaves [81], and affect plant water use and net primary productivity.",TRUE,FALSE,FALSE
"Akira, S., Cornelissen, J. H. C., Fujii, S., Okada, K. I., & Isbell, F. (2020). A meta-analysis on decomposition quantifies afterlife effects of plant diversity as a global change driver. Nature Communications, 11, 4547.","This is because low-quality litter may turn over faster when mixed with high-quality litter (Akira et al., 2020; Handa et al., 2014; Lecerf et al., 2011), further accelerating low-quality litter-derived C incorporation into SOM and possibly strengthening the complementary effect on SOC accumulation (Chen et al., 2023; Handa et al., 2014).",FALSE,FALSE,FALSE
"Akira, S., Cornelissen, J. H. C., Fujii, S., Okada, K. I., & Isbell, F. (2020). A meta-analysis on decomposition quantifies afterlife effects of plant diversity as a global change driver. Nature Communications, 11, 4547.","Relative to previous studies, this rate of litter mass loss was high (Akira et al., 2020; Cotrufo et al., 2015; Lecerf et al., 2011), but may be the result of not enclosing litter in mesh bagsâ€”mesh bags may inhibit litter fragmentation and decelerate decomposition (Berg & McClaugherty, 2008; Cotrufo et al., 2019)â€”or to fast decomposition rates typical of subtropical climates (Handa et al., 2014)",TRUE,TRUE,FALSE
"Alarcon, G. M., Bowling, N. A., & Khazon, S. (2013). Great expectations: A meta-analytic examination of optimism and hope. Personality and Individual Differences, 54, 821â€“827","Psychological theories recognize hope and optimism as distinct constructs (Alarcon et al., 2013; Bryant & Cvengros, 2004).",FALSE,FALSE,FALSE
"Alarcon, G. M., Bowling, N. A., & Khazon, S. (2013). Great expectations: A meta-analytic examination of optimism and hope. Personality and Individual Differences, 54, 821â€“827","Although the terms hope and optimism are often treated as synonyms, their measurement indicates different conceptual foundations (Alarcon et al., 2013; Bryant & Cvengros, 2004).",FALSE,FALSE,FALSE
"Albert, A. et al. (2015) Seed dispersal by ungulates as an ecological filter: a trait-based meta-analysis. Oikos 124, 1109â€“1120","Some plant species will be better at niche tracking than others, leading to dispersal-driven filtering of arriving species, that in turn affects community assembly [21,23,74,75].",FALSE,FALSE,FALSE
