article_id,meta_ref_id,is_meta_ref_meta_analysis,meta_ref_section,meta_ref_section_adj,meta_ref_quotes
00018244_002259,"shah ps, knowledge synthesis group on determinants of lbw/pt births (2010) parity and low birth weight and preterm birth: a systematic review and meta-analyses. acta obstet gynecol scand 89(7):862–875",TRUE,introduction,introduction,"moreover, maternal age is positively related to parity, a pregnancy factor associated with an increased risk for low birth weight (shah, 2010)."
00018244_002259,"upadhyay rp, naik g, choudhary ts, chowdhury r, taneja s, bhandari n, martines jc, bahl r, bhan mk (2019) cognitive and motor outcomes in children born low birth weight: a systematic review and meta-analysis of studies from south asia. bmc pediatr 19(1):1–1",TRUE,introduction,introduction,defcits in physical size at birth are linked to a myriad of negative developmental outcomes including delays in early cognitive and motor development
00018244_006557,"ritchie sj, tucker-drob em (2018) how much does education improve intelligence? a meta-analysis. psychol sci 29:1358– 1369. https://doi.org/10.1177/0956797618774253",TRUE,introduction,introduction,studies using quasi-experimental methodologies have shown the causal efect of education on cognition (araujo et al. 2016; brinch and galloway 2011; ritchie and tucker-drob 2018).
00018244_006557,strenze t (2007) intelligence and socioeconomic success: a metaanalytic review of longitudinal research. intelligence 35:401– 426. https://doi.org/10.1016/j.intell.2006.09.004,TRUE,introduction,introduction,educational attainment is strongly and positively correlated with intelligence (barber 2005; neisser et al. 1996; strenze 2007).
00018244_006557,"haworth cma, wright mj, luciano m et al (2010) the heritability of general cognitive ability increases linearly from childhood to young adulthood. mol psychiatry 15:1112–1120. https://doi. org/10.1038/mp.2009.55",TRUE,introduction,introduction,"a meta-analysis of 6 twin studies by haworth and colleagues (2010) demonstrated that the heritability of general cognitive ability increased from 41% in childhood, to 55% in adolescence, to 66% in young adulthood, and that the efects of shared environmental infuences diminished across these developmental stages"
00018244_006557,"briley da, tucker-drob em (2013) explaining the increasing heritability of cognitive ability across development. psychol sci 24:1704–1713. https://doi.org/10.1177/0956797613478618",TRUE,introduction,introduction,the wilson efect has been replicated in another meta-analysis of 11 unique longitudinal samples (briley & tucker-drob 2013) and specifcally for verbal intelligence in a longitudinal study (van soelen et al. 2011).
00018244_006557,"tucker-drob em, bates tc (2016) large cross-national diferences in gene x socioeconomic status interaction on intelligence. psychol sci 27:138–149. https://doi.org/10.1177/0956797615612727",TRUE,introduction,introduction,"moreover, the scarr-rowe interaction on cognitive abilities has been meta-analytically documented among samples of children in the united states (tucker-drob & bates 2016). ; very few studies that tested the scarr-rowe efect with twin pairs even approximated such sample sizes (tucker-drob & bates 2016). ; the crossnational diference theory of gene×ses interaction posits that the difculty replicating the scarr-rowe efect in these countries might be due to a higher availability of enriching or protective environmental factors (e.g., quality education, healthcare, social mobility) in their societies (tucker-drob & bates 2016)."
00018244_006557,"tucker-drob em, bates tc (2016) large cross-national diferences in gene x socioeconomic status interaction on intelligence. psychol sci 27:138–149. https://doi.org/10.1177/0956797615612727",TRUE,discussion/conclusion,results/discussion/conclusion,our efect sizes align well with previous studies on gene×ses interaction in adolescence (gottschling et al. 2019; harden et al. 2007; kirkpatrick et al. 2015) and with a meta-analysis by tucker-drob and bates (2016) that documented a 30–40% increase in the heritability of intelligence from low- to high-ses homes in average u.s. non-adult samples.
00018244_006580,"pozuelo jr, desborough l, stein a et al (2022) systematic review and meta-analysis: depressive symptoms and risky behaviors among adolescents in low- and middle-income countries. j am acad child adolesc psychiatry 61(2):255–276. https:// doi. org/ 10. 1016/j. jaac. 2021. 05. 005",TRUE,introduction,introduction,"outside of diagnosed disorders, both depressive symptoms and anxiety symptoms have been associated with risky sexual behaviors (pozuelo et al. 2022; wong et al. 2017)."
00018244_006925,"bartels m (2015) genetics of wellbeing and its components satisfaction with life, happiness, and quality of life: a review and meta-analysis of heritability studies. behav genet 96:137–156. https:// doi.org/10.1007/s10519-015-9713-y",TRUE,introduction,introduction,evidence for the influence of the shared environment (c) or non-additive genetic effects (d) is limited and incon- sistent (bartels 2015; nes and røysamb 2015).
00018244_006925,"bartels m (2015) genetics of wellbeing and its components satisfaction with life, happiness, and quality of life: a review and meta-analysis of heritability studies. behav genet 96:137–156. https:// doi.org/10.1007/s10519-015-9713-y",TRUE,methods,methods,"in all the analyses described below, we decided not to model shared environmental variance (c) or non-additive genetic variance (d). previous meta-analyses and reviews have shown little to no effect of c on (adult) well-being (bartels 2015) and mixed evidence for social support (dependent on the type of support; coventry et al. 2021)."
00018244_006925,"chu p, sen, saucier da, hafner e (2010) meta-analysis of the relationships between social support and well-being in children and adolescents. j soc clin psychol 29:624–645. https://doi.org/10. 1521/jscp.2010.29.6.624",TRUE,introduction,introduction,"an environmental exposure that is frequently investigated in these contexts is perceived social support1, which typically shows modest positive phe- notypic correlations with well-being (chu et al. 2010; mann et al. 2019)."
00018244_006925,"nes rb, røysamb e (2015) the heritability of subjective well-being: review and meta-analysis. in: pluess m (ed) genetics of psycho- logical well-being. oxford university press, new york, pp 75–96",TRUE,introduction,introduction,evidence for the influence of the shared environment (c) or non-additive genetic effects (d) is limited and incon- sistent (bartels 2015; nes and røysamb 2015).
00018244_008704,johnson ec et al (2020) a large-scale genome-wide association study meta-analysis of cannabis use disorder. lancet psychiatr 7:1032–1045.,TRUE,introduction,introduction,"indeed, since the first release of the genotyping data of abcd study®, abcd data have become a key component in validating genetic variants associated with the charac- teristics of human brain (choi et al. 2022; fan et al. 2022; loughnan 2022; makowski et al. 2022; naqvi et al. 2021; shadrin 2021; johnson et al. 2020; meer et al. 2020; zhao et al. 2022), examining the relationships between psychiat- ric disease propensities and the emerging psychopatholo- gies among youth"
00018244_008746,blokland gam et al (2012) genetic and environmental influences on neuroimaging phenotypes: a meta-analytical perspective on twin imaging studies. twin res hum genet 15(3):351–371,TRUE,introduction,introduction,"a metaanalysis of twin studies reported high heritability from 0.52 for the right thalamus to 0.82 for the right putamen volume, but with a relatively small sample size and wide confidence intervals of 0.4–0.8 for the right thalamus (blokland et al. 2012)."
